Date,Match,Opponent,Rating
2026-03-01,Arsenal vs Chelsea,Tosin Adarabioyo,7.0
2026-03-01,Arsenal vs Chelsea,Josh Acheampong,7.0
2026-03-01,Arsenal vs Chelsea,Benoît Badiashile,7.0
2026-03-04,Brighton & Hove Albion vs Arsenal,Mats Wieffer,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Jan Paul van Hecke,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Olivier Boscagli,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Ferdi Kadıoğlu,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Joel Veltman,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Maxim De Cuyper,7.1
2026-03-07,Mansfield Town vs Arsenal,Kyle Knoyle,6.8
2026-03-07,Mansfield Town vs Arsenal,Adedeji Oshilaja,6.8
2026-03-07,Mansfield Town vs Arsenal,Frazer Blake-Tracy,6.8
2026-03-07,Mansfield Town vs Arsenal,Aaron Lewis,6.8
2026-03-07,Mansfield Town vs Arsenal,Elliott Hewitt,6.8
2026-03-07,Mansfield Town vs Arsenal,Jordan Bowery,6.8
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Jarell Quansah,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Robert Andrich,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Edmond Tapsoba,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Axel Tape,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Tim Oermann,6.3
2026-03-14,Arsenal vs Everton,James Garner,6.8
2026-03-14,Arsenal vs Everton,Jake O'Brien,6.8
2026-03-14,Arsenal vs Everton,Michael Keane,6.8
2026-03-14,Arsenal vs Everton,Vitaliy Mykolenko,6.8
2026-03-14,Arsenal vs Everton,Nathan Patterson,6.8
2026-03-14,Arsenal vs Everton,Séamus Coleman,6.8
2026-03-14,Arsenal vs Everton,Adam Aznou,6.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Jarell Quansah,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Robert Andrich,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Edmond Tapsoba,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Tim Oermann,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Axel Tape,8.8
2026-03-22,Arsenal vs Manchester City,Matheus Nunes,6.4
2026-03-22,Arsenal vs Manchester City,Abdukodir Khusanov,6.4
2026-03-22,Arsenal vs Manchester City,Nathan Ake,6.4
2026-03-22,Arsenal vs Manchester City,Nico O'Reilly,6.4
2026-03-22,Arsenal vs Manchester City,John Stones,6.4
2026-03-22,Arsenal vs Manchester City,Rayan Aït-Nouri,6.4
