run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
235,quasi_ballistic,4,3,25000.0,85000.0,0.0,1373.5967279939705,-226.72267483300746,952.0835367311354,29120.790183981808,84319.83197550057,2866.105610193408,1373.5967279939705,-226.72267483300746,958.6535367311369,HIT,0.02346392907187034,238.78201528371292,354362.9059849415,58199.41602914319,38030.39960313776
236,supersonic_cruise,5,1,80000.0,-65000.0,0.0,1065.2652758189693,141.01186800243775,120.0,83195.79582745733,-64576.964395992836,259.7611575195571,1065.2652758189693,141.01186800243775,64.09553699217709,HIT,0.0038774950021942815,233.68153972020374,328932.8296942188,-32048.129565759795,4177.567938551529
237,high_ballistic,3,2,45000.0,45000.0,0.0,3222.235374550089,-388.68707709063517,1404.4790664489778,54605.65262787219,43841.30344016303,4196.072792007041,3201.8842092907216,-386.23218661226457,1383.9759306690103,HIT,0.04995607430911339,157.59940801205863,549615.0504422984,-15869.9560663573,100923.6754301726
238,quasi_ballistic,6,2,65000.0,-15000.0,0.0,1494.6336253112386,-42.57455173806659,1017.7044347458029,69483.90087593376,-15127.723655214213,3062.9683042374118,1494.6336253112386,-42.57455173806659,1024.2744347458045,HIT,0.003973779678479875,205.52267064739635,369495.3326438444,-49105.17724810109,30035.051740182404
239,supersonic_cruise,8,3,70000.0,60000.0,0.0,954.3109087150641,-69.91211107688804,120.0,72862.93272614537,59790.26366676946,259.7611575195571,954.3109087150641,-69.91211107688804,64.09553699217709,MISS,32.68997864434914,251.5583523757428,310064.8793617132,42413.02452384833,3332.3340483607353
240,high_ballistic,3,2,45000.0,45000.0,0.0,2699.7445762761477,-230.76256347716634,1573.0234888586428,53953.13364510497,44234.72461459736,4224.846864374302,2984.377881701727,-255.091795134179,1393.5672881247638,HIT,0.004799576981392765,164.52014143355188,535990.2708171852,3032.262302149341,101348.68802812842
241,quasi_ballistic,8,2,70000.0,60000.0,0.0,1665.2038645763307,-180.4239881257254,1035.3262529397762,74995.61159372941,59458.72803562292,3115.8337588193303,1665.2038645763312,-180.4239881257254,1041.8962529397777,HIT,0.12402703855939061,201.20367377799636,399182.3887656095,6294.213618865342,29776.62122034144
242,supersonic_cruise,0,0,15000.0,-75000.0,0.0,1146.7949438889207,144.43716416391268,120.0,18440.384831666714,-74566.68850750808,259.7611575195571,1146.7949438889207,144.43716416391268,64.09553699217709,HIT,0.010856578571819469,253.439217718814,305642.81299792556,-38393.95808022391,3512.8236059590663
243,high_ballistic,4,3,25000.0,85000.0,0.0,3189.8614360525266,-220.32625598246824,1345.7144675878426,33493.502204975615,84413.3470752521,4504.483260111068,2831.167401658532,-195.55097491600432,1486.7794200370195,HIT,0.003938215994949882,183.31199830919266,543986.9537963229,49153.160367987664,113115.2500883218
244,quasi_ballistic,1,2,30000.0,-35000.0,0.0,1667.3205539204728,158.56209625723926,914.89904354627,35001.96166176143,-34524.313711228315,2754.5521306388123,1667.3205539204728,158.56209625723926,921.4690435462716,HIT,0.01688361934346621,217.41122355531948,389472.82188295544,16135.897709737983,37155.85380940344
245,supersonic_cruise,1,1,30000.0,-35000.0,0.0,1002.3844500089227,71.858046913137,120.0,33007.153350026725,-34784.425859260664,259.7611575195571,1002.3844500089227,71.858046913137,64.09553699217709,HIT,0.007937345239928626,242.33891655146698,272916.7612914818,-17585.998757237496,3280.978415698217
